Anh van so cap,Giao duc the chat 1,Tin hoc van phong,Anh van,Giao duc quoc phong an ninh 1,Giao duc the chat,Ky nang hoc tap hieu qua,Anh van 2,Giao duc quoc phong an ninh 3 -AB,Giao duc the chat 3,Ngon ngu lap trinh,Nhung nguyen ly cua chhu nghia co ban Mac-Lenin 2,Thuc hanh ngon ngu lap trinh,Toan cao cao A2,Toan roi rac,Ky nang giao tiep,Cau truc du lieu va giai thuat,Kien truc may tinh,Phuong phap tinh,Thi nghiem vat ly dai cuong,Thuc hanh caiu truc du lieu va giai thuat,Vat ly dai cuong 1,Moi truong va con nguoi,An toan lao dong,Co so du lieu,He dieu hanh,Lap trinh huong doi tuong,Thiet ke web,Thuc hanh co so du lieu,Thuc hanhf lap trinh huong doi tuong,Thuc hanh thiet ke web,tu tuong Ho Chi Minh,Xac suat thong ke,Ham phuc va phep bien doi Laplace,Duong loi cach mang cua Dang cong san Viet Nam,Lap trinh Windows,Mang may tinh,Thuc hang lap trinh Windows,Thuc hanh Mang may tinh,Truyen thong ky thuat so,Do hoa may tinh,Thuc hanh do hoa may tinh,He quan tri co so du lieu,Phan tich thiet ke he thong thong tin,Phuong phap nghien cuu khoa hoc,Thuc hanh he quan trij co so du lieu,Thuc hanh phan tich thiet ke he thong thong tin,Thuong mai diem tu nganh CNTT,Tri tue nhan tao,Ly thuyet do thi,Thuc hanh ly thuyet do thi,Xep loai
E,C,?,E,?,?,E,E,E,E,E,D,E,?,E,D,D,?,?,E,D,E,E,D,?,?,E,D,D,E,C,E,D,E,?,?,D,D,D,E,E,?,C,D,E,?,?,E,?,E,D,Khong Dat
?,E,E,E,E,C,?,E,D,E,E,?,E,E,D,E,D,?,?,?,?,D,?,E,D,E,E,E,E,?,C,D,D,?,D,E,?,E,E,D,D,D,?,D,E,E,D,C,?,?,E,Khong Dat
?,E,?,C,E,?,?,C,E,E,E,E,?,C,?,C,?,E,E,E,?,?,D,D,?,?,D,E,E,E,E,E,D,E,?,?,?,?,D,?,E,C,?,D,E,?,?,?,?,?,?,Khong Dat
E,?,E,?,E,C,D,D,C,D,E,D,D,C,?,D,D,E,D,?,E,D,C,C,?,D,?,E,?,?,D,?,D,?,E,E,?,?,E,D,D,C,E,?,D,E,?,C,E,D,E,Khong Dat
E,D,E,?,?,E,C,D,E,D,C,C,E,C,E,C,D,?,E,?,?,D,E,?,?,E,?,?,E,E,E,E,E,?,E,?,E,?,E,E,?,E,?,?,E,E,E,D,E,D,?,Khong Dat
?,?,?,D,D,E,?,?,E,D,E,?,D,C,?,E,D,E,E,?,?,C,E,E,?,?,?,?,?,?,?,D,D,E,D,?,E,?,D,E,E,E,D,E,?,D,E,E,E,?,?,Khong Dat
D,?,?,D,E,?,?,E,?,?,C,D,D,D,?,E,?,?,E,E,E,E,C,C,?,?,E,C,?,?,E,C,C,E,?,?,E,D,E,E,E,E,E,D,C,?,D,E,E,E,E,Khong Dat
?,E,D,C,E,?,E,?,E,?,E,E,?,E,E,?,?,?,E,?,E,?,E,E,?,D,?,E,?,?,C,E,E,D,E,E,?,?,D,?,E,E,D,C,?,E,E,D,?,?,D,Khong Dat
D,D,E,?,D,E,?,D,?,E,?,?,D,E,D,?,E,D,E,D,?,E,D,D,?,?,?,E,D,?,E,E,C,D,?,E,E,?,E,E,E,E,?,?,E,?,?,E,?,D,E,Khong Dat
?,?,C,?,E,C,E,C,E,E,D,C,?,C,?,?,D,?,E,?,?,?,?,E,E,E,?,?,?,?,?,E,D,?,D,E,?,E,?,E,C,C,D,D,C,D,?,D,?,?,?,Khong Dat
?,E,?,?,?,?,E,D,?,D,C,E,?,E,E,?,?,D,E,D,?,E,?,D,?,?,?,D,D,?,?,?,C,?,E,E,D,?,E,C,C,?,?,E,E,?,?,E,E,?,?,Khong Dat
C,C,?,?,E,E,C,?,?,E,?,C,?,D,D,C,?,?,E,E,E,C,?,D,E,?,?,?,?,?,C,C,C,?,?,?,?,E,E,?,E,E,E,E,D,?,E,D,E,?,E,Khong Dat
?,?,?,E,C,?,?,E,E,?,E,E,?,D,?,E,?,?,E,?,E,C,C,?,?,?,?,C,E,?,D,E,E,E,C,E,D,E,E,C,D,D,?,D,?,?,?,?,?,?,D,Khong Dat
?,E,E,E,E,D,C,?,?,E,E,E,?,?,?,?,?,E,D,?,?,E,C,C,?,?,?,C,E,?,C,E,C,?,E,D,?,E,?,?,C,E,E,D,E,?,?,E,E,?,E,Khong Dat
?,?,D,?,E,E,?,?,?,C,E,E,E,D,E,E,?,?,C,?,?,?,C,E,?,?,C,?,E,E,C,C,C,?,E,D,E,E,D,?,?,E,?,?,?,?,E,D,?,?,?,Khong Dat
D,?,?,E,?,?,D,?,E,E,?,D,?,?,?,?,D,?,?,D,?,C,D,E,?,?,?,?,E,E,C,?,E,?,C,D,?,E,E,?,D,?,E,?,E,E,E,E,?,?,E,Khong Dat
C,D,E,?,?,D,E,D,E,?,?,C,D,E,?,?,?,E,?,?,D,E,E,?,E,?,D,?,D,?,C,D,C,E,?,?,E,D,?,C,?,C,E,?,E,E,E,D,?,?,?,Khong Dat
?,E,E,D,?,E,?,E,E,E,E,E,?,?,E,E,?,?,?,?,E,D,E,D,?,E,?,?,?,?,E,E,E,C,?,?,E,C,?,?,D,E,?,E,E,?,D,E,E,E,E,Khong Dat
C,E,C,?,?,?,E,E,?,C,?,E,E,C,?,E,?,E,D,?,E,?,E,E,E,D,E,E,?,D,E,?,E,D,C,?,?,D,?,C,D,E,D,?,?,?,E,E,?,D,D,Khong Dat
D,C,?,?,E,E,E,C,D,D,D,D,?,E,E,?,?,D,C,?,?,E,E,?,E,E,?,?,?,E,?,E,E,C,E,?,E,E,E,D,D,E,?,E,?,?,?,E,?,E,E,Khong Dat
?,D,?,?,E,D,?,E,?,E,C,E,E,?,D,D,?,?,?,?,?,C,E,C,?,?,?,?,?,D,E,E,?,E,E,?,?,D,?,C,E,E,D,E,E,D,?,D,E,?,D,Khong Dat
C,E,?,?,E,C,E,E,E,E,?,E,E,?,?,C,D,?,E,D,?,?,E,?,?,?,?,?,?,D,C,C,?,?,D,?,E,?,?,E,E,D,?,?,E,E,?,E,?,?,E,Khong Dat
D,D,?,C,D,E,C,D,?,?,?,E,?,?,?,?,D,E,?,?,E,C,E,E,D,?,?,D,E,E,?,C,D,C,D,?,D,?,?,E,?,E,?,E,?,D,E,D,?,?,E,Khong Dat
E,?,E,E,?,?,E,?,?,E,D,?,?,E,?,?,?,?,E,?,?,C,C,?,?,D,?,D,E,E,?,D,?,?,E,?,?,?,D,?,C,?,?,?,?,?,?,?,?,E,?,Khong Dat
D,C,?,C,?,?,E,E,E,E,E,E,?,?,?,D,?,E,D,?,?,C,E,E,?,?,?,?,D,?,E,C,E,?,E,D,E,?,?,?,E,E,E,?,C,?,?,?,E,?,D,Khong Dat
?,?,?,?,?,C,E,E,C,D,C,E,?,D,E,C,?,E,?,?,E,E,C,C,E,D,D,E,E,?,E,E,?,E,C,?,?,?,E,C,C,E,E,D,?,?,E,D,?,?,D,Khong Dat
?,E,?,E,E,E,?,?,C,?,?,?,D,?,E,C,D,E,?,E,?,D,D,E,E,?,?,E,D,?,D,D,E,C,D,E,D,D,E,E,E,E,?,E,E,D,?,C,?,E,?,Khong Dat
C,?,?,E,?,E,?,E,E,E,D,D,?,E,E,E,?,E,E,D,D,D,E,C,E,E,E,D,?,D,C,C,E,E,C,E,E,D,?,E,E,D,?,?,E,D,?,D,?,?,?,Khong Dat
D,E,E,D,D,?,E,D,E,E,?,E,E,C,?,E,?,D,E,?,D,E,C,E,E,D,D,?,?,E,E,?,C,D,D,?,?,E,?,E,C,E,E,E,E,?,E,D,?,D,?,Khong Dat
E,?,C,?,E,?,?,D,?,E,?,?,?,C,D,C,?,E,C,E,?,C,?,C,C,?,?,?,?,?,?,E,C,D,?,?,E,?,?,?,C,E,E,?,E,?,?,E,E,E,?,Khong Dat
?,?,?,E,?,?,?,D,E,?,?,C,E,E,?,?,E,?,E,E,E,E,C,E,E,?,?,E,E,E,E,C,C,C,D,D,C,E,E,C,E,E,?,?,C,?,?,E,?,?,E,Khong Dat
?,E,E,?,E,D,E,?,C,D,C,C,E,C,?,C,E,?,D,E,?,C,C,?,E,D,D,E,?,E,E,D,?,C,E,?,?,?,?,C,D,E,E,?,E,?,?,C,?,?,?,Khong Dat
E,C,D,E,C,C,?,C,C,E,D,?,?,?,?,?,C,?,?,?,D,E,E,E,?,?,D,E,?,?,D,E,C,C,?,?,?,?,?,?,C,E,?,?,E,E,E,E,?,E,D,Khong Dat
?,?,E,?,E,C,E,E,E,?,D,?,?,E,E,?,D,?,D,E,E,?,D,C,?,D,E,E,?,E,C,D,?,?,E,?,?,?,?,E,?,?,?,?,C,?,?,C,E,?,?,Khong Dat
?,D,C,?,E,?,E,?,E,?,E,C,?,C,?,C,?,?,E,D,E,E,E,E,?,E,?,C,E,E,C,E,?,D,D,E,E,E,E,E,D,D,?,?,C,D,?,E,?,?,E,Khong Dat
?,?,?,C,C,C,D,?,D,E,E,?,?,?,E,C,?,?,C,?,?,D,E,D,?,?,?,?,?,?,C,?,D,?,?,?,?,?,D,C,C,C,?,E,?,?,D,?,C,E,D,Khong Dat
E,?,?,?,E,C,D,E,?,E,?,C,D,D,E,D,D,?,E,?,?,E,?,?,E,?,?,E,C,?,C,C,?,C,E,E,?,?,E,D,E,?,E,E,C,?,?,?,?,?,E,Khong Dat
?,?,D,?,D,E,C,?,D,D,D,E,?,?,?,C,C,C,C,?,D,C,?,E,?,E,E,?,?,?,D,E,?,D,C,D,?,?,?,?,?,D,D,D,E,D,E,D,E,E,?,Khong Dat
C,?,D,E,E,C,E,E,E,?,?,E,C,?,?,C,?,?,C,D,?,E,D,E,?,E,E,E,D,?,?,E,?,?,D,?,?,?,?,E,C,C,?,?,E,?,E,E,?,D,?,Khong Dat
E,E,?,C,E,?,?,?,?,E,?,?,E,?,?,C,?,E,D,D,?,C,E,D,?,?,?,?,E,?,?,E,?,?,?,?,E,D,D,E,D,E,E,E,E,E,?,?,E,?,D,Khong Dat
D,E,?,?,?,?,E,E,D,D,C,?,?,C,E,C,?,D,D,?,?,E,E,E,?,?,E,E,?,?,E,C,C,?,?,D,?,E,?,C,?,E,E,?,D,?,?,D,?,?,E,Khong Dat
D,E,D,?,D,E,C,?,E,E,C,D,E,E,D,E,D,D,E,E,?,E,C,?,E,?,?,D,?,E,C,E,?,E,E,D,E,E,?,D,C,E,?,?,E,?,?,E,D,D,E,Khong Dat
C,?,C,E,?,?,C,C,E,C,E,?,?,E,E,C,?,?,?,D,?,C,E,E,?,?,E,D,?,?,C,D,D,D,E,?,?,?,?,E,E,?,E,?,E,?,E,C,E,E,D,Khong Dat
E,E,?,E,?,C,?,?,E,E,?,E,?,C,E,D,?,?,?,?,E,D,C,D,?,?,E,E,?,?,C,D,E,E,E,?,E,E,E,C,C,E,?,?,C,?,?,?,?,?,D,Khong Dat
C,E,E,?,D,?,?,C,?,C,?,?,E,E,E,?,?,?,C,?,?,E,?,C,?,?,?,D,?,C,?,E,E,?,?,?,E,E,?,D,E,D,?,E,C,D,?,C,D,?,?,Khong Dat
?,?,E,?,?,E,D,E,E,C,E,?,?,?,?,E,?,?,E,D,E,E,D,?,?,D,E,C,?,E,E,C,D,E,?,?,?,E,?,C,D,?,E,C,?,E,?,C,?,D,?,Khong Dat
E,?,C,E,?,?,E,C,C,E,C,C,D,C,D,E,?,D,?,?,?,D,E,C,E,?,E,D,?,?,C,E,?,C,E,E,D,?,?,C,?,C,?,?,?,D,D,E,?,?,E,Khong Dat
?,E,C,C,?,D,E,E,D,E,D,E,E,?,E,D,?,E,D,?,E,?,?,E,D,?,?,D,?,E,E,D,C,?,?,D,?,?,E,?,D,D,?,?,E,?,E,E,?,D,E,Khong Dat
E,E,?,?,?,C,C,D,E,C,D,D,?,E,E,C,E,?,?,D,E,E,E,?,E,?,?,?,?,?,C,E,C,E,C,D,E,?,D,C,C,E,D,?,C,?,D,D,E,D,D,Khong Dat
?,?,?,E,E,C,D,E,E,?,E,D,?,E,E,C,D,?,E,?,E,C,C,?,?,?,?,?,E,E,E,E,E,E,?,D,?,D,E,D,C,?,?,?,E,E,?,D,?,E,E,Khong Dat
?,C,?,?,E,E,?,C,C,D,?,D,?,E,D,C,D,?,C,?,E,?,E,?,E,?,?,E,?,E,E,C,?,E,E,E,?,E,?,?,?,E,?,?,?,?,?,?,D,E,?,Khong Dat
E,?,?,D,C,?,D,E,E,E,E,D,?,E,D,C,?,?,E,?,?,D,?,E,D,?,?,E,?,?,?,E,C,D,E,E,?,E,?,C,E,E,?,E,E,E,?,E,D,E,E,Khong Dat
E,C,?,?,E,?,E,E,E,C,?,D,?,?,?,?,?,D,E,D,?,C,C,?,?,E,?,C,?,?,?,C,C,C,C,?,D,?,?,?,E,?,?,?,D,E,E,E,?,C,?,Khong Dat
E,E,?,?,D,?,?,E,D,D,?,E,D,C,?,E,D,E,?,?,E,C,E,C,?,?,?,E,?,?,E,?,?,E,?,E,?,?,E,C,C,E,?,E,E,?,?,?,E,D,D,Khong Dat
C,?,?,D,?,C,D,?,E,?,E,D,?,C,?,D,?,E,E,?,D,D,?,E,?,?,E,E,?,?,E,E,D,D,C,?,?,?,?,C,E,E,D,?,E,E,?,D,?,E,D,Khong Dat
?,?,?,E,E,E,?,?,E,E,D,E,D,E,E,C,?,?,?,E,E,E,?,D,?,?,?,D,D,?,D,E,?,E,E,D,?,?,?,C,E,C,E,E,?,E,?,?,E,E,C,Khong Dat
E,D,C,D,?,C,?,?,?,?,?,?,?,E,?,C,D,?,D,?,?,E,C,?,?,E,?,C,?,?,?,C,E,E,D,?,D,?,?,C,E,E,?,E,C,D,E,E,E,?,E,Khong Dat
E,?,E,E,?,C,?,C,?,?,D,?,E,E,?,E,?,?,E,E,E,E,C,?,D,E,E,?,E,?,C,D,C,E,C,E,?,?,D,C,?,C,?,?,?,?,?,?,E,?,?,Khong Dat
C,D,C,?,?,D,E,D,?,?,D,E,?,E,?,D,D,?,D,?,?,C,?,D,?,D,?,D,?,E,C,C,E,E,C,?,E,?,?,C,E,?,?,?,?,?,?,E,E,?,D,Khong Dat
D,?,E,?,C,E,?,D,?,E,E,E,?,E,E,E,E,?,?,D,?,E,E,E,D,?,?,?,?,?,C,E,E,D,D,E,E,E,?,E,?,D,E,D,D,E,?,E,D,E,E,Khong Dat
E,?,?,?,?,E,E,C,E,?,E,E,?,?,E,E,E,D,C,?,E,E,?,E,?,?,E,E,?,?,E,C,C,D,E,D,D,?,D,?,?,E,E,?,D,?,?,E,?,?,?,Khong Dat
C,E,?,D,C,?,?,?,?,E,?,E,E,?,E,E,E,?,C,?,E,C,?,E,E,?,?,C,?,E,D,?,E,E,D,E,?,E,?,E,?,E,?,?,?,D,E,E,E,?,E,Khong Dat
?,?,E,C,E,?,D,E,D,D,E,?,C,E,E,?,E,?,?,E,?,?,?,E,?,?,?,?,?,?,?,E,E,?,C,E,E,?,E,?,E,D,E,?,?,E,D,D,E,?,E,Khong Dat
?,C,E,E,E,E,?,?,C,?,?,?,?,?,D,E,?,E,D,E,C,E,E,E,E,?,E,?,E,?,E,E,C,?,C,D,E,?,?,E,?,E,D,?,?,?,?,?,E,?,?,Khong Dat
?,?,?,C,E,C,D,C,C,E,?,E,E,D,E,?,?,?,D,E,?,E,D,C,?,E,?,C,D,E,?,D,?,D,D,E,?,?,E,E,E,E,E,?,E,E,?,D,?,D,?,Khong Dat
D,C,D,E,?,?,?,?,D,?,E,C,D,C,?,D,E,?,E,?,?,?,C,C,E,E,D,E,?,?,E,C,D,D,E,?,?,?,?,?,E,E,D,?,?,?,E,?,?,D,E,Khong Dat
?,?,?,E,E,E,E,?,D,C,?,D,?,?,E,D,D,E,E,E,E,?,D,C,E,E,?,?,?,?,C,C,E,D,C,E,?,E,?,?,C,?,?,?,C,?,?,?,?,E,E,Khong Dat
E,C,?,?,E,D,D,C,?,?,E,C,?,C,?,D,?,?,?,?,?,?,?,?,?,?,?,C,E,E,E,C,D,?,D,E,?,E,E,?,E,D,?,D,D,?,?,C,E,?,D,Khong Dat
?,E,E,?,?,E,E,D,?,E,E,D,?,C,E,E,?,?,E,E,?,C,?,D,?,?,D,C,E,E,C,E,E,D,C,E,?,E,E,D,E,?,?,?,C,E,E,?,?,?,?,Khong Dat
E,D,?,D,?,E,?,?,D,E,C,C,?,?,?,?,?,B,C,E,E,D,E,C,B,E,E,E,D,E,E,E,D,?,B,D,?,D,?,E,C,E,?,C,B,D,?,E,B,B,E,Khong Dat
E,C,C,?,D,C,?,?,E,E,?,E,E,E,E,D,?,E,?,E,?,E,?,D,?,?,?,D,D,?,E,C,E,E,?,E,E,E,D,E,C,C,?,E,E,D,?,?,?,?,E,Khong Dat
?,E,D,?,E,E,C,?,?,?,E,D,?,C,?,D,D,?,D,?,E,?,?,E,?,D,E,C,?,E,E,D,C,?,C,?,E,E,?,E,?,?,?,?,E,?,E,E,E,?,?,Khong Dat
C,D,C,?,?,?,?,?,D,E,C,E,E,D,E,E,?,D,E,E,E,E,E,E,E,D,E,C,?,E,D,C,E,?,C,?,D,?,?,?,C,E,?,?,D,D,D,C,?,?,?,Khong Dat
C,E,E,?,E,?,C,?,?,?,?,?,?,?,E,D,?,D,C,?,D,E,E,D,?,?,?,?,?,E,D,C,?,E,C,?,E,E,?,?,?,C,?,?,D,C,D,D,?,?,D,Khong Dat
